Mod:Item:MetaData, Localized Name
minecraft:wool:4, Yellow Wool
minecraft:wool:5, Lime Wool
minecraft:wool:6, Pink Wool
minecraft:wool:7, Gray Wool
minecraft:wool:8, Light Gray Wool
minecraft:wool:9, Cyan Wool
minecraft:wool:10, Purple Wool
minecraft:wool:11, Blue Wool
minecraft:wool:12, Brown Wool
minecraft:wool:13, Green Wool
minecraft:wool:14, Red Wool
minecraft:wool:15, Black Wool
minecraft:yellow_flower:0, Dandelion
minecraft:red_flower:0, Poppy
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, Mushroom
minecraft:red_mushroom, Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:stone_slab:0, Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Bookshelf
minecraft:mossy_cobblestone, Moss Stone
minecraft:obsidian, Obsidian
minecraft:torch, Torch
minecraft:fire, Fire
minecraft:mob_spawner:0, Monster Spawner
minecraft:oak_stairs, Oak Wood Stairs
minecraft:chest, Chest
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:lit_furnace, Furnace
minecraft:ladder, Ladder
minecraft:rail, Rail
minecraft:stone_stairs, Stone Stairs
minecraft:lever, Lever
minecraft:stone_pressure_plate, Pressure Plate
minecraft:wooden_pressure_plate, Pressure Plate
minecraft:redstone_ore, Redstone Ore
minecraft:redstone_torch, Redstone Torch
minecraft:stone_button, Button
minecraft:snow_layer:0, Snow
minecraft:ice, Ice
minecraft:snow, Snow
minecraft:cactus, Cactus
minecraft:clay, Clay
minecraft:jukebox, Jukebox
minecraft:fence, Fence
minecraft:pumpkin, Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Glowstone
minecraft:portal, Portal
minecraft:lit_pumpkin, Jack o'Lantern
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, Trapdoor
minecraft:monster_egg:0, Stone Monster Egg
minecraft:monster_egg:1, Cobblestone Monster Egg
minecraft:monster_egg:2, Stone Brick Monster Egg
minecraft:monster_egg:3, Mossy Stone Brick Monster Egg
minecraft:monster_egg:4, Cracked Stone Brick Monster Egg
minecraft:monster_egg:5, Chiseled Stone Brick Monster Egg
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Mushroom
minecraft:red_mushroom_block, Mushroom
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon_block, Melon
minecraft:vine, Vines
minecraft:fence_gate, Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:enchanting_table, Enchantment Table
minecraft:end_portal, tile.null.name
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:cocoa, Cocoa
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:carrots, Carrots
minecraft:potatoes, Potatoes
minecraft:wooden_button, Button
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Rail
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Stained Clay
minecraft:stained_hardened_clay:1, Orange Stained Clay
minecraft:stained_hardened_clay:2, Magenta Stained Clay
minecraft:stained_hardened_clay:3, Light Blue Stained Clay
minecraft:stained_hardened_clay:4, Yellow Stained Clay
minecraft:stained_hardened_clay:5, Lime Stained Clay
minecraft:stained_hardened_clay:6, Pink Stained Clay
minecraft:stained_hardened_clay:7, Gray Stained Clay
minecraft:stained_hardened_clay:8, Light Gray Stained Clay
minecraft:stained_hardened_clay:9, Cyan Stained Clay
minecraft:stained_hardened_clay:10, Purple Stained Clay
minecraft:stained_hardened_clay:11, Blue Stained Clay
minecraft:stained_hardened_clay:12, Brown Stained Clay
minecraft:stained_hardened_clay:13, Green Stained Clay
minecraft:stained_hardened_clay:14, Red Stained Clay
minecraft:stained_hardened_clay:15, Black Stained Clay
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
advancedatamonitor:advDataMonitor, tile.advDataMonitor.name
structurelib:blockhint:0, Hint 1 dot
structurelib:blockhint:1, Hint 2 dots
structurelib:blockhint:2, Hint 3 dots
structurelib:blockhint:3, Hint 4 dots
structurelib:blockhint:4, Hint 5 dots
structurelib:blockhint:5, Hint 6 dots
structurelib:blockhint:6, Hint 7 dots
structurelib:blockhint:7, Hint 8 dots
structurelib:blockhint:8, Hint 9 dots
structurelib:blockhint:9, Hint 10 dots
structurelib:blockhint:10, Hint 11 dots
structurelib:blockhint:11, Hint 12 dots
structurelib:blockhint:12, Hint general
structurelib:blockhint:13, Hint air
structurelib:blockhint:14, Hint no air
structurelib:blockhint:15, Hint error
TConstruct:liquid.slime, Liquified Slime
TConstruct:MeatBlock, Hambone
TConstruct:WoolSlab1:0, Light Gray Wool Slab
TConstruct:WoolSlab1:1, Cyan Wool Slab
TConstruct:WoolSlab1:2, Purple Wool Slab
TConstruct:WoolSlab1:3, Blue Wool Slab
TConstruct:WoolSlab1:4, Brown Wool Slab
TConstruct:WoolSlab1:5, Green Wool Slab
TConstruct:WoolSlab1:6, Red Wool Slab
TConstruct:WoolSlab1:7, Black Wool Slab
minecraft:hay_block, Hay Bale
minecraft:carpet:0, Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Hardened Clay
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
TConstruct:WoolSlab2:0, Gray Wool Slab
TConstruct:WoolSlab2:1, Gray Wool Slab
TConstruct:WoolSlab2:2, Gray Wool Slab
TConstruct:WoolSlab2:3, Gray Wool Slab
TConstruct:WoolSlab2:4, Gray Wool Slab
TConstruct:WoolSlab2:5, Gray Wool Slab
TConstruct:WoolSlab2:6, Gray Wool Slab
TConstruct:WoolSlab2:7, Gray Wool Slab
TConstruct:trap.punji, Punji Stick
TConstruct:trap.barricade.oak, Oak Barricade
TConstruct:trap.barricade.spruce, Spruce Barricade
TConstruct:trap.barricade.birch, Birch Barricade
TConstruct:trap.barricade.jungle, Jungle Barricade
TConstruct:explosive.slime:0, SDX
TConstruct:explosive.slime:2, SDX
TConstruct:slime.gel:0, Congealed Blue Slime
TConstruct:slime.gel:1, Congealed Green Slime
TConstruct:slime.gel:2, Congealed Purple Slime
TConstruct:slime.grass:0, Slimy Grass
TConstruct:slime.grass.tall:0, Slimy Grass
TConstruct:slime.leaves:0, Slimy Leaves
TConstruct:slime.sapling:0, Slimy Sapling
TConstruct:slime.channel, Slime Channel
TConstruct:blood.channel, Blood Channel
TConstruct:slime.pad, Bounce Pad
TConstruct:decoration.stonetorch, Torch
TConstruct:decoration.stoneladder, Ladder
TConstruct:decoration.multibrick:0, Obsidian Brick
TConstruct:decoration.multibrick:1, Sandstone Brick
TConstruct:decoration.multibrick:2, Netherrack Brick
TConstruct:decoration.multibrick:3, Polished Stone Brick
TConstruct:decoration.multibrick:4, Iron Brick
TConstruct:decoration.multibrick:5, Gold Brick
TConstruct:decoration.multibrick:6, Lapis Brick
TConstruct:decoration.multibrick:7, Diamond Brick
TConstruct:decoration.multibrick:8, Redstone Brick
TConstruct:decoration.multibrick:9, Bone Brick
TConstruct:decoration.multibrick:10, Slime Brick
TConstruct:decoration.multibrick:11, Slime Brick
TConstruct:decoration.multibrick:12, Endstone Brick
TConstruct:decoration.multibrick:13, Obsidian Brick
TConstruct:decoration.multibrickfancy:0, Fancy Obsidian Brick
TConstruct:decoration.multibrickfancy:1, Fancy Sandstone Brick
TConstruct:decoration.multibrickfancy:2, Fancy Netherrack Brick
TConstruct:decoration.multibrickfancy:3, Fancy Polished Stone Brick
TConstruct:decoration.multibrickfancy:4, Fancy Iron Brick
TConstruct:decoration.multibrickfancy:5, Fancy Gold Brick
TConstruct:decoration.multibrickfancy:6, Fancy Lapis Brick
TConstruct:decoration.multibrickfancy:7, Fancy Diamond Brick
TConstruct:decoration.multibrickfancy:8, Fancy Redstone Brick
TConstruct:decoration.multibrickfancy:9, Fancy Bone Brick
TConstruct:decoration.multibrickfancy:10, Fancy Slime Brick
TConstruct:decoration.multibrickfancy:11, Fancy Slime Brick
TConstruct:decoration.multibrickfancy:12, Fancy Endstone Brick
TConstruct:decoration.multibrickfancy:13, Fancy Obsidian Brick
TConstruct:decoration.multibrickfancy:14, Fancy Stone Brick
TConstruct:decoration.multibrickfancy:15, Stone Road
TConstruct:decoration.multibrickmetal:0, Alumite Brick
TConstruct:decoration.multibrickmetal:1, Ardite Brick
TConstruct:decoration.multibrickmetal:2, Cobalt Brick
TConstruct:decoration.multibrickmetal:3, Manyullyn Brick
TConstruct:decoration.multibrickmetal:4, Fancy Alumite Brick
TConstruct:decoration.multibrickmetal:5, Fancy Ardite Brick
TConstruct:decoration.multibrickmetal:6, Fancy Cobalt Brick
TConstruct:decoration.multibrickmetal:7, Fancy Manyullyn Brick
TConstruct:ore.berries.one:8, Iron Oreberry Bush
TConstruct:ore.berries.one:9, Gold Oreberry Bush
TConstruct:ore.berries.one:10, Copper Oreberry Bush
TConstruct:ore.berries.one:11, Tin Oreberry Bush
TConstruct:ore.berries.two:8, Aluminum Oreberry Bush
TConstruct:ore.berries.two:9, Essence Berry Bush
TConstruct:SearedBrick:1, Cobalt Ore
TConstruct:SearedBrick:2, Ardite Ore
TConstruct:SearedBrick:3, Copper Ore
TConstruct:SearedBrick:4, Tin Ore
TConstruct:SearedBrick:5, Aluminum Ore
TConstruct:GravelOre:0, Iron Gravel Ore
TConstruct:GravelOre:1, Gold Gravel Ore
TConstruct:GravelOre:2, Copper Gravel Ore
TConstruct:GravelOre:3, Tin Gravel Ore
TConstruct:GravelOre:4, Aluminum Gravel Ore
TConstruct:GravelOre:5, Cobalt Gravel Ore
TConstruct:rail.wood, Wooden Rail
TConstruct:MetalBlock:0, Block of Cobalt
TConstruct:MetalBlock:1, Block of Ardite
TConstruct:MetalBlock:2, Block of Manyullyn
TConstruct:MetalBlock:3, Block of Copper
TConstruct:MetalBlock:4, Block of Bronze
TConstruct:MetalBlock:5, Block of Tin
TConstruct:MetalBlock:6, Block of Aluminum
TConstruct:MetalBlock:7, Block of Aluminum Brass
TConstruct:MetalBlock:8, Block of Alumite
TConstruct:MetalBlock:9, Block of Steel
TConstruct:MetalBlock:10, Block of Solid Ender
TConstruct:ToolStationBlock:0, Tool Station
TConstruct:ToolStationBlock:1, Part Builder
TConstruct:ToolStationBlock:2, Part Builder
TConstruct:ToolStationBlock:3, Part Builder
TConstruct:ToolStationBlock:4, Part Builder
TConstruct:ToolStationBlock:5, Pattern Chest
TConstruct:ToolStationBlock:10, Stencil Table
TConstruct:ToolStationBlock:11, Stencil Table
TConstruct:ToolStationBlock:12, Stencil Table
TConstruct:ToolStationBlock:13, Stencil Table
TConstruct:ToolForgeBlock:0, Tool Forge
TConstruct:ToolForgeBlock:1, Tool Forge
TConstruct:ToolForgeBlock:2, Tool Forge
TConstruct:ToolForgeBlock:3, Tool Forge
TConstruct:ToolForgeBlock:4, Tool Forge
TConstruct:ToolForgeBlock:5, Tool Forge
TConstruct:ToolForgeBlock:6, Tool Forge
TConstruct:ToolForgeBlock:7, Tool Forge
TConstruct:ToolForgeBlock:8, Tool Forge
TConstruct:ToolForgeBlock:9, Tool Forge
TConstruct:ToolForgeBlock:10, Tool Forge
TConstruct:ToolForgeBlock:11, Tool Forge
TConstruct:ToolForgeBlock:12, Tool Forge
TConstruct:ToolForgeBlock:13, Tool Forge
TConstruct:CraftingStation, Crafting Station
TConstruct:CraftingSlab:0, Crafting Station
TConstruct:CraftingSlab:1, Tool Station
TConstruct:CraftingSlab:2, Part Builder
TConstruct:CraftingSlab:3, Stencil Table
TConstruct:CraftingSlab:4, Pattern Chest
TConstruct:CraftingSlab:5, Tool Forge
TConstruct:FurnaceSlab, Slab Furnace
TConstruct:HeldItemBlock, Frying Pan
TConstruct:BattleSignBlock, Battlesign
TConstruct:CraftedSoil:0, Slimy Mud
TConstruct:CraftedSoil:1, Grout
TConstruct:CraftedSoil:2, Slimy Mud
TConstruct:CraftedSoil:3, Graveyard Soil
TConstruct:CraftedSoil:4, Consecrated Soil
TConstruct:CraftedSoil:5, Blue Slimedirt
TConstruct:CraftedSoil:6, Slime Soil
TConstruct:fluid.molten.iron, Molten Iron
TConstruct:fluid.molten.gold, Molten Gold
TConstruct:fluid.molten.copper, Molten Copper
TConstruct:fluid.molten.tin, Liquid Tin
TConstruct:fluid.molten.aluminum, Molten Aluminum
TConstruct:fluid.molten.cobalt, Molten Cobalt
TConstruct:fluid.molten.ardite, Molten Ardite
TConstruct:fluid.molten.bronze, Molten Bronze
TConstruct:fluid.molten.alubrass, Molten Aluminum Brass
TConstruct:fluid.molten.manyullyn, Molten Manyullyn
TConstruct:fluid.molten.alumite, Molten Alumite
TConstruct:fluid.molten.obsidian, Molten Obsidian
TConstruct:fluid.molten.steel, Molten Steel
TConstruct:fluid.molten.glass, Molten Glass
TConstruct:molten.stone, Seared Stone
TConstruct:molten.emerald, Liquified Emerald
TConstruct:molten.quartz, Molten Nether Quartz
TConstruct:fluid.molten.nickel, Molten Nickel
TConstruct:fluid.molten.lead, Molten Lead
TConstruct:fluid.molten.silver, Molten Silver
TConstruct:fluid.molten.shiny, Molten Shiny
TConstruct:fluid.molten.invar, Molten Invar
TConstruct:fluid.molten.electrum, Molten Electrum
TConstruct:fluid.ender, Liquified Ender
TConstruct:fluid.molten.lumium, Molten Lumium
TConstruct:fluid.molten.signalum, Molten Signalum
TConstruct:fluid.molten.mithril, Molten Mana Infused Metal
TConstruct:fluid.molten.enderium, Molten Enderium
TConstruct:liquid.blood, Blood
TConstruct:liquid.glue, Glue
TConstruct:fluid.molten.pigiron, Molten Pig Iron
TConstruct:SearedSlab:0, Seared Brick Slab
TConstruct:SearedSlab:1, Seared Stone Slab
TConstruct:SearedSlab:2, Seared Cobblestone Slab
TConstruct:SearedSlab:3, Seared Paver Slab
TConstruct:SearedSlab:4, Seared Road Slab
TConstruct:SearedSlab:5, Fancy Seared Slab
TConstruct:SearedSlab:6, Chiseled Seared Slab
TConstruct:SearedSlab:7, Chiseled Seared Slab
TConstruct:SpeedSlab:0, Rough Brownstone Slab
TConstruct:SpeedSlab:1, Brownstone Road Slab
TConstruct:SpeedSlab:2, Brownstone Slab
TConstruct:SpeedSlab:3, Brownstone Brick Slab
TConstruct:SpeedSlab:4, Brownstone Road Slab
TConstruct:SpeedSlab:5, Fancy Brownstone Slab
TConstruct:SpeedSlab:6, Chiseled Brownstone Slab
TConstruct:GlueBlock, Glue Block
TConstruct:Smeltery:0, Smeltery Controller
TConstruct:Smeltery:1, Smeltery Drain
TConstruct:Smeltery:2, Seared Bricks
TConstruct:Smeltery:4, Seared Stone
TConstruct:Smeltery:5, Seared Cobblestone
TConstruct:Smeltery:6, Seared Paver
TConstruct:Smeltery:7, Cracked Seared Bricks
TConstruct:Smeltery:8, Seared Road
TConstruct:Smeltery:9, Fancy Seared Bricks
TConstruct:Smeltery:10, Chiseled Seared Bricks
TConstruct:Smeltery:11, Chiseled Seared Bricks
TConstruct:SmelteryNether:0, Smeltery Controller
TConstruct:SmelteryNether:1, Smeltery Drain
TConstruct:SmelteryNether:2, Seared Bricks
TConstruct:SmelteryNether:4, Seared Stone
TConstruct:SmelteryNether:5, Seared Cobblestone
TConstruct:SmelteryNether:6, Seared Paver
TConstruct:SmelteryNether:7, Cracked Seared Bricks
TConstruct:SmelteryNether:8, Seared Road
TConstruct:SmelteryNether:9, Fancy Seared Bricks
TConstruct:SmelteryNether:10, Chiseled Seared Bricks
TConstruct:SmelteryNether:11, Chiseled Seared Bricks
TConstruct:LavaTank:0, Seared Tank
TConstruct:LavaTank:1, Seared Glass
TConstruct:LavaTank:2, Seared Window
TConstruct:LavaTankNether:0, Seared Tank
TConstruct:LavaTankNether:1, Seared Glass
TConstruct:LavaTankNether:2, Seared Window
TConstruct:SearedBlock:0, Casting Table
TConstruct:SearedBlock:1, Seared Faucet
TConstruct:SearedBlock:2, Casting Basin
TConstruct:SearedBlockNether:0, Casting Table
TConstruct:SearedBlockNether:1, Seared Faucet
TConstruct:SearedBlockNether:2, Casting Basin
TConstruct:CastingChannel:0, Casting Channel
TConstruct:CastingChannel:1, Casting Channel
TConstruct:SpeedBlock:0, Rough Brownstone
TConstruct:SpeedBlock:1, Brownstone Road
TConstruct:SpeedBlock:2, Brownstone
TConstruct:SpeedBlock:3, Brownstone Brick
TConstruct:SpeedBlock:4, Brownstone Road
TConstruct:SpeedBlock:5, Fancy Brownstone
TConstruct:SpeedBlock:6, Chiseled Brownstone
TConstruct:GlassBlock:0, Clear Glass
TConstruct:GlassPane:0, Clear Glass Pane
TConstruct:GlassBlock.StainedClear:0, White Stained Glass
TConstruct:GlassBlock.StainedClear:1, Orange Stained Glass
TConstruct:GlassBlock.StainedClear:2, Magenta Stained Glass
TConstruct:GlassBlock.StainedClear:3, Light Blue Stained Glass
TConstruct:GlassBlock.StainedClear:4, Yellow Stained Glass
TConstruct:GlassBlock.StainedClear:5, Lime Stained Glass
TConstruct:GlassBlock.StainedClear:6, Pink Stained Glass
TConstruct:GlassBlock.StainedClear:7, Gray Stained Glass
TConstruct:GlassBlock.StainedClear:8, Light Gray Stained Glass
TConstruct:GlassBlock.StainedClear:9, Cyan Stained Glass
TConstruct:GlassBlock.StainedClear:10, Purple Stained Glass
TConstruct:GlassBlock.StainedClear:11, Blue Stained Glass
TConstruct:GlassBlock.StainedClear:12, Brown Stained Glass
TConstruct:GlassBlock.StainedClear:13, Green Stained Glass
TConstruct:GlassBlock.StainedClear:14, Red Stained Glass
TConstruct:GlassBlock.StainedClear:15, Black Stained Glass
TConstruct:GlassPaneClearStained:0, White Stained Pane
TConstruct:GlassPaneClearStained:1, Orange Stained Pane
TConstruct:GlassPaneClearStained:2, Magenta Stained Pane
TConstruct:GlassPaneClearStained:3, Light Blue Stained Pane
TConstruct:GlassPaneClearStained:4, Yellow Stained Pane
TConstruct:GlassPaneClearStained:5, Lime Stained Pane
TConstruct:GlassPaneClearStained:6, Pink Stained Pane
TConstruct:GlassPaneClearStained:7, Gray Stained Pane
TConstruct:GlassPaneClearStained:8, Light Gray Stained Pane
TConstruct:GlassPaneClearStained:9, Cyan Stained Pane
TConstruct:GlassPaneClearStained:10, Purple Stained Pane
TConstruct:GlassPaneClearStained:11, Blue Stained Pane
TConstruct:GlassPaneClearStained:12, Brown Stained Pane
TConstruct:GlassPaneClearStained:13, Green Stained Pane
TConstruct:GlassPaneClearStained:14, Red Stained Pane
TConstruct:GlassPaneClearStained:15, Black Stained Pane
minecraft:iron_shovel, Iron Shovel
minecraft:iron_pickaxe, Iron Pickaxe
minecraft:iron_axe, Iron Axe
minecraft:flint_and_steel, Flint and Steel
minecraft:apple, Apple
minecraft:bow, Bow
minecraft:arrow, Arrow
minecraft:coal:0, Coal
minecraft:coal:1, Charcoal
minecraft:diamond, Diamond
minecraft:iron_ingot, Iron Ingot
minecraft:gold_ingot, Gold Ingot
minecraft:iron_sword, Iron Sword
minecraft:wooden_sword, Wooden Sword
minecraft:wooden_shovel, Wooden Shovel
minecraft:wooden_pickaxe, Wooden Pickaxe
minecraft:wooden_axe, Wooden Axe
minecraft:stone_sword, Stone Sword
minecraft:stone_shovel, Stone Shovel
minecraft:stone_pickaxe, Stone Pickaxe
minecraft:stone_axe, Stone Axe
minecraft:diamond_sword, Diamond Sword
minecraft:diamond_shovel, Diamond Shovel
minecraft:diamond_pickaxe, Diamond Pickaxe
minecraft:diamond_axe, Diamond Axe
minecraft:stick, Stick
minecraft:bowl, Bowl
minecraft:mushroom_stew, Mushroom Stew
minecraft:golden_sword, Golden Sword
minecraft:golden_shovel, Golden Shovel
minecraft:golden_pickaxe, Golden Pickaxe
minecraft:golden_axe, Golden Axe
minecraft:string, String
minecraft:feather, Feather
minecraft:gunpowder, Gunpowder
minecraft:wooden_hoe, Wooden Hoe
minecraft:stone_hoe, Stone Hoe
minecraft:iron_hoe, Iron Hoe
minecraft:diamond_hoe, Diamond Hoe
minecraft:golden_hoe, Golden Hoe
minecraft:wheat_seeds, Seeds
minecraft:wheat, Wheat
minecraft:bread, Bread
minecraft:leather_helmet, Leather Cap
minecraft:leather_chestplate, Leather Tunic
minecraft:leather_leggings, Leather Pants
minecraft:leather_boots, Leather Boots
minecraft:chainmail_helmet, Chain Helmet
minecraft:chainmail_chestplate, Chain Chestplate
minecraft:chainmail_leggings, Chain Leggings
minecraft:chainmail_boots, Chain Boots
minecraft:iron_helmet, Iron Helmet
minecraft:iron_chestplate, Iron Chestplate
minecraft:iron_leggings, Iron Leggings
minecraft:iron_boots, Iron Boots
minecraft:diamond_helmet, Diamond Helmet
minecraft:diamond_chestplate, Diamond Chestplate
